Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Step-up with knee raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Glutes,Body Only,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-70e-step-up-with-knee-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-70e-step-up-with-knee-raise-m2-16x9.jpg']"
Smith machine back squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18t-smith-machine-back-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18t-smith-machine-back-squat-m2-16x9.jpg']"
Incline dumbbell front raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-11n-incline-dumbbell-front-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-11n-incline-dumbbell-front-raise-m2-16x9.jpg']"
Alternate Incline Dumbbell Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-16x9.jpg']"
Standing dumbbell upright row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Traps,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-125d-standing-dumbbell-upright-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-125d-standing-dumbbell-upright-row-m2-16x9.jpg']"
Single-arm cable front raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Cable,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-42c-single-arm-cable-front-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-42c-single-arm-cable-front-raise-m2-16x9.jpg']"
Two-Arm Kettlebell Military Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Kettlebells,Average,8.7,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/l/530_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/l/530_2.jpg']"
Incline cable chest press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Cable,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-11c-incline-cable-chest-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-11c-incline-cable-chest-press-m2-16x9.jpg']"
Rope climb,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Body Only,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-155s-rope-climb-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-155s-rope-climb-m3-16x9.jpg']"
Trail Running/Walking,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.7,"['https://www.bodybuilding.com/images/2020/april/657_1-large.jpg', 'https://www.bodybuilding.com/images/2020/april/657_2-large.jpg', 'https://www.bodybuilding.com/images/2020/april/657_3-large.jpg']"
Standing Bradford press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Barbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-15b-standing-bradford-press-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-15b-standing-bradford-press-m3-16x9.jpg']"
Neutral-grip dumbbell bench press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-11e-neutral-grip-dumbbell-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-11e-neutral-grip-dumbbell-bench-press-m2-16x9.jpg']"
Cable Chest Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Cable,Average,8.7,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/l/870_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/l/870_2.jpg']"
